,CustomerID,Gender,Age,Annual Income,Spending Score,no
40,41,Female,65,38.0,35.0,0
46,47,Female,50,40.0,55.0,0
50,51,Female,49,42.0,52.0,0
53,54,Male,59,43.0,60.0,0
54,55,Female,50,43.0,45.0,0
55,56,Male,47,43.0,41.0,0
56,57,Female,51,44.0,50.0,0
57,58,Male,69,44.0,46.0,0
59,60,Male,53,46.0,46.0,0
60,61,Male,70,46.0,56.0,0
62,63,Female,67,47.0,52.0,0
63,64,Female,54,47.0,59.0,0
64,65,Male,63,48.0,51.0,0
66,67,Female,43,48.0,50.0,0
67,68,Female,68,48.0,48.0,0
70,71,Male,70,49.0,55.0,0
71,72,Female,47,49.0,42.0,0
72,73,Female,60,50.0,49.0,0
73,74,unknown,60,50.0,56.0,0
74,75,Male,59,54.0,47.0,0
76,77,Female,45,54.0,53.0,0
79,80,Female,49,54.0,42.0,0
80,81,Male,57,54.0,51.0,0
82,83,Male,67,54.0,41.0,0
83,84,Female,46,54.0,44.0,0
85,86,Male,48,54.0,46.0,0
86,87,Female,55,57.0,58.0,0
89,90,Female,50,58.0,46.0,0
90,91,Female,68,59.0,55.0,0
92,93,Male,48,60.0,49.0,0
96,97,Female,47,60.0,47.0,0
98,99,Male,48,61.0,42.0,0
101,102,Female,49,62.0,48.0,0
102,103,Male,67,62.0,59.0,0
104,105,Male,49,62.0,56.0,0
106,107,Female,66,63.0,50.0,0
107,108,Male,54,63.0,46.0,0
108,109,Male,68,63.0,43.0,0
109,110,Male,66,63.0,48.0,0
110,111,Male,65,63.0,52.0,0
116,117,Female,63,65.0,43.0,0
117,118,Female,49,65.0,59.0,0
118,119,Female,51,67.0,43.0,0
119,120,Female,50,67.0,57.0,0
